Date,Year,MonthNo,Month,QuarterNo,Quarter,Day
1899-05-02 00:00:00.000,1899,5,"May",2,"Qtr 2",2
1899-05-03 00:00:00.000,1899,5,"May",2,"Qtr 2",3
1899-05-04 00:00:00.000,1899,5,"May",2,"Qtr 2",4
1899-05-05 00:00:00.000,1899,5,"May",2,"Qtr 2",5
1899-05-06 00:00:00.000,1899,5,"May",2,"Qtr 2",6
1899-05-07 00:00:00.000,1899,5,"May",2,"Qtr 2",7
1899-05-08 00:00:00.000,1899,5,"May",2,"Qtr 2",8
1899-05-09 00:00:00.000,1899,5,"May",2,"Qtr 2",9
1899-05-10 00:00:00.000,1899,5,"May",2,"Qtr 2",10
1899-05-11 00:00:00.000,1899,5,"May",2,"Qtr 2",11
1899-05-12 00:00:00.000,1899,5,"May",2,"Qtr 2",12
1899-05-13 00:00:00.000,1899,5,"May",2,"Qtr 2",13
1899-05-14 00:00:00.000,1899,5,"May",2,"Qtr 2",14
1899-05-15 00:00:00.000,1899,5,"May",2,"Qtr 2",15
1899-05-16 00:00:00.000,1899,5,"May",2,"Qtr 2",16
1899-05-17 00:00:00.000,1899,5,"May",2,"Qtr 2",17
1899-05-18 00:00:00.000,1899,5,"May",2,"Qtr 2",18
1899-05-19 00:00:00.000,1899,5,"May",2,"Qtr 2",19
1899-05-20 00:00:00.000,1899,5,"May",2,"Qtr 2",20
1899-05-21 00:00:00.000,1899,5,"May",2,"Qtr 2",21
1899-05-22 00:00:00.000,1899,5,"May",2,"Qtr 2",22
1899-05-23 00:00:00.000,1899,5,"May",2,"Qtr 2",23
1899-05-24 00:00:00.000,1899,5,"May",2,"Qtr 2",24
1899-05-25 00:00:00.000,1899,5,"May",2,"Qtr 2",25
1899-05-26 00:00:00.000,1899,5,"May",2,"Qtr 2",26
1899-05-27 00:00:00.000,1899,5,"May",2,"Qtr 2",27
1899-05-28 00:00:00.000,1899,5,"May",2,"Qtr 2",28
1899-05-29 00:00:00.000,1899,5,"May",2,"Qtr 2",29
1899-05-30 00:00:00.000,1899,5,"May",2,"Qtr 2",30
1899-05-31 00:00:00.000,1899,5,"May",2,"Qtr 2",31
1899-06-01 00:00:00.000,1899,6,"June",2,"Qtr 2",1
1899-06-02 00:00:00.000,1899,6,"June",2,"Qtr 2",2
1899-06-03 00:00:00.000,1899,6,"June",2,"Qtr 2",3
1899-06-04 00:00:00.000,1899,6,"June",2,"Qtr 2",4
